ajoneuvoluokka,merkkiSelvakielinen,kaupallinenNimi
L3,Ducati,Desmo Mark 3 D
L1,Peugeot,FOX
L1e,Kinroad,PRINCE-PCBLA/50
L3,Jawa,Perak 250
L3e,Suzuki,SV650SA
L3,Suzuki,T500 K/492
L3,BOSS-HOSS,BHC-2
L1,Aprilia,Scarabeo
L1,Piaggio,SFERA 50
L3,BSA,Star-C15/249
L3,Vespa,VESPA
L3,Harley-Davidson,HARLEY-DAVIDSON FLSTF FAT BOY
L3,Suzuki,TS 125 C
L1,Tunturi,LF2-66
L3,Derbi,BOULEVARD-BL3A1A/151
L3,Monark,M550 BLUE ARROW
L1,VICTORIA,Vicky
L1,Tunturi,Maxi VS50 LF2/49
L3,Honda,VF 750 F
L3,Yamaha,650 Street
L3,Yamaha,XJ 650T
L3e,Moto Guzzi,Griso 1100 LS
L3,IFA,RT 125
L3,Bajaj,CHETAK ELEKTRONIC-06C-E/145
L3,Honda,CB500 Four
L3,Harley-Davidson,Super Glide
L3,Kawasaki,GPZ500S
L3,Yamaha,650 STREET
L3,Honda,NT650 DEAUVILLE
L3e,BMW,R 1150RT
L1,Aprilia,HABANA 50-PKD0/49
L1,Suzuki,PV50/50
L3,Harley-Davidson,XL 53C Sportster Custom
L3,BMW,K 1200RS
L3,Triumph,TIGER 650
L1,Solifer,Export Tomos 3V-71/49
L3,Jawa-CZ,355
L3,Ducati,DM600 SL/A
L1,Piaggio,Free
L3,Yamaha,FJR1300-RP041
L3,Kawasaki,250 F11
L3,Honda,Gold Wing
L3,BMW,R45
L3,Kawasaki,E11-250/246
L3,Cagiva,650 ALAZZURRA
L3,Yamaha,XS400SE-4G5/391
L3,Suzuki,VZ800 MARAUDER
L3,Suzuki,GT250
L1,Helkama,�SS�-MINARELLI P4R/49
L3,Vespa,COSA
L3,KTM,520 EXC-RCA4/520
L3,Honda,VTR1000F-SC36
L3,Honda,CB 500 K
L3,PCS,SORTTAIL
L3,Honda,HONDA VF 750 C/748
L3e,Vespa,125 Primavera VMA2T
L3,EMW,R35/3
L3,Yamaha,RD 125  LC-10W/123
L3,Honda,CBR1100XX-SC35/1137
L3,Yamaha,XV1100 VIRAGO
L3,Suzuki,GSX750
L3,Honda,VFR 750F-RC36
L3,Harley-Davidson,FX-1200
L1,Italjet,SCOOP-SC2
L3,Yamaha,XVS 650 DRAG STAR -4VR/649
L3,Honda,VF 1100 Custom V65 Magna
L1,Suzuki,SoliferPV50/50
L1,Tunturi,Tunturi
L1,Öglaend,Safir 4002
L3e,Kawasaki,VN 1600
L1e,Benelli,PEPE LX
L3,Suzuki,DR400S
L3,Yamaha,RD 350 LC
L3,Kawasaki,KZ 1300 A
L3,BMW,R100RT-247/980
L1,Tunturi,SPORT N PUCH
L3,Kawasaki,KM 100-A
L1,Suzuki,Solifer PV50
L3,BMW,R65 LS-248/649
L1,Honda,SFX50 X8R-AF49
L1,Honda,Monkey Z 50 J
L3e,Suzuki,VZ 800
L1,Piaggio,NRG MC3-C32100/49
L3,Honda,SHADOW VT600 C
L1,Tunturi,Maxi-Puch VS50
L3,Norton,ES2
L3,Kawasaki,ZRX1200S-ZRT20A/1165
L3,Honda,AFRIGA TWIN 650
L3,Moto Guzzi,V35 II-PD
L1,Honda,z50j
L3,Honda,GL 1100 GOLD WING
L3,Yamaha,FZS1000-RN066
L3,Honda,ST 1100 Pan European
L3,Honda,NTV 650
L3,Suzuki,DR 650 RSE
L3,Honda,CB 450 K5
L3,Laverda,750 GT
L1,Hero,WINNER 50-2TR/49
L3,Gas Gas,SM 125 EC
L3,Suzuki,GT 250 K
L3,Ariel,VB 600
L1,Suzuki,Suzuki PV50
L1,Tunturi,START-VS50KX/49
L3,BMW,R80-247/797
L1,Solifer,GT
L3,Yamaha,XVS650A
L1,Derbi,SENDA SM-SENDBA/49
L3,BMW,R100CS
L3,Harley-Davidson,FLH
L1,Solifer,SM77-TOMOS 4V/49
L3,Yamaha,XS 650 Special
L3,BMW,R 1100 GS
L1,CH Racing,WSM 50
L3,BMW,R 1100RS-259/1085
L3e,Kawasaki,NINJA
L3,KTM,GS 350
L3,Honda,XRV 750 AFRICA TWIN
L3,Kawasaki,ZZ-R 1100-ZXT10D
L3,Honda,CB1100SF
L3,Harley-Davidson,FXDXT DYNA SUPER GLIDE T-SPORT-GLV/1449
L3,Kawasaki,Z1 900 Super Four
L1,Suzuki,Solifer-PV
L1,Motobecane,Velo solex 3800
L3,Harley-Davidson,flh
L3,MZ,Trophy Sport ETS 250
L1,Viking-Öglaend,Swing S/47 Saxonette 110
L3,Honda,VF750
L1e,Yamaha,YQ50
L3,Husqvarna,TE 410-H500AA/399
L3,BMW,K1
L1,Motorhispania,RACING RX-DR01/49
L1,Öglaend,Sport
L3,Kawasaki,ZR-7
L1,Suzuki,S-1
L1e,Derbi,Senda R
L3,Kawasaki,Z 1100
L3,Triumph,BONNEVILLE
L3,Kawasaki,ZL 500
L1,Suzuki,Pv50
L1,Helkama,KAVERI
L3,Kawasaki,GPZ 500 S
L3,IFA,RT1-125/123-55
L3,Honda,V45 MAGNA
L3,Yamaha,XVZ12 Venture
L3,Kawasaki,ER-5-ER500A
L1e,Sanili,SL50QT-8-TSTBH/50
L3,Suzuki,GSF600S BANDIT
L3,Honda,MTX 125
L3,Suzuki,GS500E
L3,Honda,shadow 750
L1e,Baotian,BAOTIAN
L3e,Jawa-CZ,354/344
L3,Gilera,COGUAR 125-M17/124
L1,Tunturi,SPORT N PUCH VZ50N4/49
L3e,Suzuki,GS500F
L3,BMW,R100 RT
L3e,Kawasaki,ZR 750
L1,Tunturi,61/49
L3,Suzuki,GSX-R1000-BZ1111
L3,Suzuki,UC125 EPICURO-AX1111/125
L3,SWM,240 TL/238
L1,Malaguti,F10
L3,Kawasaki,VN 750 TWIN
L3,Kawasaki,EL250
L3,BMW,R80 ST
L1,Solifer,Export-Tomos
L3,Yamaha,RS 125
L3,Honda,CBR 600
L3,Yamaha,XJR 1300
L3,Yamaha,XS
L3,Honda,VT 750 C
L1,Helkama,Major S
L3e,BSA,B33
L3,BSA,C-15 Star
L3,Harley-Davidson,FX 1340
L1,Peugeot,Speedfight
L3,BMW,K100 RS
L3,Honda,AFRICA TWIN XRV750
L3,Harley-Davidson,SPORTSTER 1200
L1,Solifer,Tomos 4V/49
L3,Honda,CBR900RR-SC44B
L3,Kawasaki,ZEPHYR 750
L3,Vespa,VMA2T
L3,Kawasaki,KZ1000 SHAFT
L3,Triumph,TIGER CUB-T20
L3,SKYTEAM,SKYTEAM
L3,Honda,VFR800FI-RC46E/782
L3,Harley-Davidson,XLH SPORTSTER 1200-CAP
L3,Harley-Davidson,Dyna Glide
L3,Zundapp,Bella R 150
L3e,KTM,DUKE II-DUN4/625
L3,Ducati,SPORT 900-V100AA/904
L1,Helkama,Raisu - Minarelli P4E/49
L1,Tunturi,MAXI-PUCH VS50LF
L3,Suzuki,A100K
L3,Harley-Davidson,FLT-80/1340
L3,Kawasaki,Ninja
L1,Hero,WINNER
L3,Ducati,906 Paso
L3,Harley-Davidson,XLH 883
L1,Ducati,55/48
L3,Indian,741B
L3,Jawa,Style
L3,Indian,CHIEF
L3,Gas Gas,ENDUCROSS 200
L3,Honda,VT-500 Custom
L3,Honda,cbx650e
L3,Honda,CBR1100-SC35/1137
L3,Honda,GL1100
L1,Suzuki,solifer-pv50/50
L3,AJS,M14 / 248
L3,BMW,K100RT-100
L3,Honda,ST 70 - GII/72
L3e,Yamaha,XT250
L1,Tunturi,VS 50 KA
L3,BSA,STAR TWIN
L1,Tunturi,AUTOSTART-PUCH
L1,Suzuki,PV 50/50
L3,Yamaha,VMX1200
L1e,Tunturi,Autostart-Puch VS50KA
L3,Harley-Davidson,SPORTSTER 1200 CUSTO
L1,Solifer,SUZUKI-PV
L3e,Maico,SE 250 LC
L3,Honda,CB 125 T-JC06/124
L3,Kawasaki,S1-250
L3,Honda,CX500-PC01/496
L3,Ducati,MONSTER 620-M4-03AD/618
L3,Honda,XL600V TRANSALP
L3,Honda,GOLDWING GL 1000
L3e,Vespa,PRIMAVERA VMA2T
L1,Tunturi,Start -Puch VS50
L1,Tunturi,SPORT-PUCH VZ50K3X-72/49
L1,Tunturi,BREAK-PUCH
L3,Suzuki,TS125 ER
L1,Yamaha,DT50R-5BK
L3,Honda,VF 1100 CUSTOM-SC12/1098
L1,Tunturi,TIGER AQUA MORINI FRANCO FM-T4GSA/49
L1,Honda,SZX50S
L3,Honda,Revere 650
L3,Kawasaki,VN1500
L3,Moto Guzzi,V65 Lario
L3,Kawasaki,NINJA ZX-9R-ZX900B/899
L3e,Honda,VT 500 C Shadow
L3,Moto Guzzi,V10 CENTAURO
L3,Suzuki,VS800 GLP
L3,Honda,HONDA CBR600F
L3e,Indian,Big Chief
L3e,Yamaha,DT125-10V/123
L3,Honda,CBR1000F-SC24/998
L3,Yamaha,VIRAGO XV 535
L1,Suzuki,SOLIFER SUZUKI PV 50
L3,Ducati,Mark 3D 450
L1,Solifer,TS-50-TOMOS 4V/49
L3,Honda,DAX
L3,Ducati,MONSTER-ZDM 600M
L3,Suzuki,GS750
L3,Honda,HONDA GOLD WING SE -GL1500
L3,Triumph,SPEED TRIPLE T500
L1,Peugeot,Trekker
L3e,Honda,CBR900
L3,Kawasaki,GPZ 900 R
L1,Tunturi,BREAK
L3,Honda,CBR900RR-SC44/929
L1,Comet-Öglaend,�yglaend Swing
L3,Harley-Davidson,Sportster
L3e,Zongshen,ZS200GY-2
L2,Erkkola,MOE 5-50MA-ABEX-B/47
L3,Tula,T200M
L3,Honda,CD 125 A
L3e,Yamaha,FJR 1300-RP41/1298
L1,Atala,"LEPTON-A7E001-B6306I-02251-48V 1,8KW"
L1,Tunturi,CITY E50S
L3e,Harley-Davidson,FLHTCSE2
L3,Yamaha,AG 175
L3,Honda,XL600V Transalp
L3,Yamaha,XJ600S-RJ01/598
L1,Peugeot,SQUAB
L3,Yamaha,XJ700 MAXIM-1NH/696
L3e,Honda,VF 1100S SABRE-SC17
L3,Honda,CB250
L3,Honda,CB 400F/408
L3,MZ,ES250
L3,Honda,VFR800FI-RC46/782
L1,Yamaha,NEO`S
L3,Honda,XR650R-REO1
L3,Harley-Davidson,XLH883 Sportster
L3,Peugeot,H2AC00/150
L1,Solifer,Solifer Speed
L3e,BSA,VICTOR 500
L3,Yamaha,YZF1000R
L1,Piaggio,CIAO-C7E2T/49
L1e,Piaggio,LX 50 4T-C38300/50
L3e,BMW,R1150RS-0447A/1130
L3,Yamaha,Virago XV 700
L3,Suzuki,AN400 BURGMAN-BW1111/385
L3e,Husqvarna,WR 250
L3,Husqvarna,WR250-H301AA/249
L3e,Suzuki,GSX-R600U3
L1,Yamaha,DT50R
L1,Tunturi,City Morini M101K
L3,Kawasaki,VN750A
L1,Tunturi,SPORT 69-LF3/49
L3,Kawasaki,Z 1300 A
L3,Vespa,SUPER SPORT 180
L1,Suzuki,SOLIFER PV 50/50
L3,MZ,ES 125 / 123
L3,Vespa,VESPA TOURING 150
L3,Yamaha,Yamaha SR 125-10F/124
L1e,Rieju,RS200/50
L3e,Honda,CB600FA
L3,MZ,125 SM STREETMOTO-1SXSM/124
L1,Helkama,Raisu Minarelli P4E/49
L3,Ducati,SS750
L3,Yamaha,SR 400
L3,Honda,VF1100 CUSTOM
L3,Honda,CB 900
L3,Yamaha,YAMAHA (J)
L1,Honda,ZJ50J-AB02/49 Monkey
L3,Kawasaki,GPZ500S-EX500D/498
L1,Tunturi,VAKOI-MORINI FRANCO-FM-M-101-K/49
L3,Suzuki,GSX400E
L1,Suzuki,pv-50
L3,Aprilia,PEGASO 650 I.E.
L1,Solifer,TS-50 TOMOS 4V/49
L3,MZ,BAGHIRA 660E STREET MOTO-6DE3S/660
L3,Triumph,Trident
L3,Honda,CX 500 Turbo
L3,Kawasaki,Z 500
L3,Norton,DOMINATOR/497-53
L3e,Kawasaki,ZX-6RR
L1,Tunturi,Tunturi Super Sport
L3,Honda,V45 Magna
L3e,Suzuki,SV 650 S
L3,Honda,CBR600F-PC31
L3,Honda,SHADOW
L3,Yamaha,RD 125 LC-1GX/123
L3,Honda,CBR 1000F-SC21
L3,Suzuki,T 500 J
L3,Honda,SHADOW VT600 C-PC21/583
L1,Solifer,AUTOMATIC-TOMOS A 32KS-P5
L3,Yamaha,XVS 1100 DRAG STAR
L3,Norton,Commando 850 Roadster
L1,Tunturi,VS 50 LF
L3,Moto Guzzi,V35
L3,Honda,CB 1100F
L3,Triumph,Daytona
L3e,Suzuki,T-250/247
L1,Piaggio,VESPA 50
L3e,Husqvarna,TE 250
L2,Erkkola,MOE 5/S
L3,Honda,VF 750-RC719
L1,Tunturi,MICRO E 50/48
L3,Kawasaki,LTD450
L3e,Norton,Dominator / 486
L3e,Huatian,HT125T-25
L3e,Royal Enfield,BULLET ELECTRA
L3,Honda,CB 350 S
L3,Triumph,SPEEDMASTER-TJ913Y
L3,Honda,CB500 FOUR
L1,Tunturi,AUTOMAATTI AF-66/49
L3,Honda,GL 1000
L1,Honda,Monkey Z50J-AB02/49
L3,Suzuki,VS800GL-VS52A/805
L3,Honda,XL 600V Transalp
L1,Aprilia,RS50-PGA0/49
L1,Tunturi,LF2-64/49
L1e,Solifer,SMA-TOMOS A 32-KS
L3e,Honlei,HL125GY-3
L3e,Suzuki,GSF650SU
L3,Honda,VARADERO
L3,Honda,SHADOW VT1100C2
L1,Solifer,SPEED 4V
L3,Harley-Davidson,XLH 1000 SPORSTER
L1,Tunturi,VZ50KX3
L3,Kawasaki,ZR
L3,Benelli,750 Sei
L3,Honda,CB600F HORNET-PC36E/600
L3,Harley-Davidson,Disk Glide
L3,Honda,REBEL CMX250C
L3e,Suzuki,BANDIT
L3,AWO,425T
L3,Suzuki,Gemma CS 125
L3,BMW,K 75 C
L1,Tunturi,DX-PUCH VZ50N4/49
L3e,Yamaha,FZ1-S
L3,Vespa,Vespa GL150/145
L3,Suzuki,DR 250S
L3e,Suzuki,SV1000
L3e,EXCELSIOR,TALISMAN TWIN T.T.1.
L1,Piaggio,VESPA 50 ET2-C16/49
L3e,Ducati,MULTISTRADA 1100
L3,Kawasaki,ZXR 400-ZX400L/398
L3,Suzuki,GSX750E
L3,Honda,Gold Wing GL
L1,Tunturi,L�hetti-Automat-VS50KA-71/49
L3,Harley-Davidson,FLSTS HERITAGE SOFTAIL SPRINGER
L3,Harley-Davidson,Sportser 1200
L3,Suzuki,DR 800S
L1,Tunturi,MAXI - PUCH
L3,Yamaha,XJ700 MAXIM
L1,Tunturi,CLASSIC
L3,Yamaha,XJ 650 Maxim
L3,Ducati,SPORT 620-V500AA/618
L1,Suzuki,LOVE-FA11A/49
L3e,Honda,GL1000-GOLD WING
L3,BMW,R1100S
L3,BMW,R65/3
L1,Tunturi,START AUTOMAT-PUCH VS50KA
L3,Kymco,PULSAR 125-M20000/124
L3e,Kawasaki,Z 750 ABS
L3,Suzuki,GSX1100G-GV74A
L1e,Tunturi,Classic
L3,Yamaha,XVS 650 DRAG STAR
L1,Suzuki,AP50
L3e,Zundapp,KS 125 Sport
L3,Kawasaki,Z 1000
L3,Simson,SR-1
L3,Vespa,Piaggio PX125e
L3,Harley-Davidson,FLT
L3,Kawasaki,KMX125-MX125A/124
L1,Itteco,ERGON-GF5
L1e,Yamaha,70
L3,Honda,CM400T CUSTOM
L1,Solifer,Export-Tomos A 32
L3,Honda,CB 900 F Bold'Or
L3,Ariel,600 VB
L3,Honda,CB 250 RS
L3,Honda,ST 1300 A
L1e,Aprilia,SR 50-LB/49
L1,Tunturi,TP50
L3,Kawasaki,GPX-750 F
L3,Suzuki,T 250 J/247
L3,Suzuki,250
L3,MBK,SKYLINER -SE0/124
L3,Honda,CBR 600 F-PC25/599
L3e,Suzuki,AN650
L3e,Kawasaki,NINJA ZX-6R-ZX636C/636
L1,Tunturi,Tiger S
L3,Buell,XBR9R-AX12J
L3e,Yamaha,XZ550
L3,CZ,Sport 250.471.0
L3,BMW,K75S-75/740
L1,Honda,SZX50
L3,Kymco,EGO-S3-10/125
L3,Harley-Davidson,HARLEY-DAVIDSON
L1,Jawa,Babetta
L3,Harley-Davidson,Dyna
L3,Honda,LEAD 125-JF01/124
L3,Yamaha,Road Star Warrior
L3,Suzuki,gs 450
L3,Yamaha,YP125R MAJESTY
L3,Moto Guzzi,V65 FLORIDA
L1,Helkama,AX MINARELLI RV4/49
L3,Honda,HONDA MOTOR(J)
L3,Yamaha,XVS1100 DRAG STAR-VP05/1063
L3,Harley-Davidson,FLH 1200
L1,Tunturi,L�hetti
L3,Honda,VT750C2 SHADOW-RC44/745
L3,Triumph,Trident - T 160/740
L1,Solifer,Speed 4v
L3,Honda,CB900C
L3,Yamaha,YAMAHA
L3,Honda,VFR800FI-RC46B/782
L3,Yamaha,XV750 Virago
L3,Honda,CM400T-NC01
L3,Yamaha,XV250 VIRAGO-VG011/249
L3,Aprilia,RSV 1000-RPA00/997
L3,Triumph,SPEEDMASTER-TJ913YR/
L3,Honda,CB350FOUR/347
L3,Yamaha,XJ 900 S
L3,Kawasaki,ZX-12R-ZXT20A
L3,Yamaha,YAMAHA XJ 600 DIVERSION
L3,Suzuki,VS800
L3,Honda,CBR600F-PC31/599
L3,BFG,1300-1301/1299
L1,Suzuki,AP50-CA1JA/49
L3,Triumph,DAYTONA 955I-595-TE507L/955
L3,Yamaha,XS 400 SE
L3,Fantic,Caballero 125 tx
L3,Harley-Davidson,SOFTAIL DEUCE
L3,Honda,CX 500
L1,MBK,STUNT-SA092/49
L3,Vespa,P200E
L3,Norton,M50
L3,Yamaha,YZF 1000R
L3,Yamaha,RD125
L1,Helkama,RAISU-MINARELLI P4E/49
L3,Honda,CB SEVEN FIFTY-RC42
L3e,Gas Gas,EC 200
L3,Ariel,NH 350
L3,Yamaha,XJ 600 N
L3,Vespa,Vespa Super Sport VSC1T/181
L3,EMW,R 35
L3,Yamaha,DS6
L3,BMW,R65LS
L3,Motorhispania,TRIAL
L3,Honda,VTR 1000
L3,Vespa,PX 125E
L3e,Jawa 650,STYLE
L1,Tunturi,Vakio-Morini Franco FM-M-101-K/49
L1,Tunturi,50 LF
L3,Vespa,RALLY VSE-1T-1M200
L3,Harley-Davidson,XLH
L3e,Jawa,SPORT
L3e,Yamaha,FJR1300A-RP11/1298
L3,Monark,M 402
L3e,Suzuki,DR500
L3,Suzuki,GSX 1100 ES
L3,Vespa,Super Sport VSC I T/181
L3,Jawa-CZ,356
L3,BSA,M 23 SILVER STAR
L3e,Daelim,VJF125
L1,Monark,1232-ILO/49
L1,Tunturi,SUPER SPORT -PUCH VZ50N4/49
L1,HRD,50 E/49
L3,Norton,Commando 750 S
L3,Simson,425 S
L3,Honda,CB 750 c
L3e,Keeway,LANDCRUISER/KW250-L/
L1,Tunturi,TIGER-PUCH VZ50N4/49
L3,Kawasaki,ER 500A
L3,Yamaha,DT125
L3,BMW,K1100RS
L1,Honda,z50j-ab02/49
L3,BMW,R 80RT
L3,Honda,LEAD 125
L3,Benelli,750 Sei Elettronica
L3,Harley-Davidson,FXSTDI SOFTAIL DEUCE -JBB/1449
L3,Suzuki,GS 450 T
L3,Honda,VFR  750F-RC36/748
L3,Yamaha,XJR1200-4PU
L1,Suzuki,SOLFER-PV50/49
L3e,Suzuki,GSX1100G
L3,Harley-Davidson,FLHT Electra Glide
L3,BMW,R1100GS
L3,Yamaha,YZ 125
L1,Husqvarna,Sport
L3,Triumph,THUNDERBIRD
L3,Honda,CBR
L3,Honda,VTX1800C
L3,Harley-Davidson,Wide Glide
L3,Kawasaki,ZEPHYR 1100-ZRT10A
L3,Harley-Davidson,FXSTC SOFTAIL STANDART-BKL
L3,Ariel,VH500
L1e,Derbi,SENDA R-SR1D2B/49
L3,Yamaha,Sport 80-YGS1F
L1,Tunturi,CITY-PUCH E 50/49
L1,Italjet,FORMULA 50
L3,Yamaha,XJ 650
L3,BSA,A10
L3,Suzuki,GSX 750R
L1e,Peugeot,T1AAAA/49
L3,Honda,CBX750F
L3,SKYTEAM,ST125 TR-01/124
L3,Aprilia,RSV 1000
L1e,Yamasaki,YM50GYS
L3,Honda,VTR 1000SP-1-SC45A/9
L3,Triumph,SPEED TRIPLE T500-TE508M/955
L3e,Harley-Davidson,FXD SUPER GLIDE-GHL
L3,Honda,GOLD WING ASPENCADE-GL1500-SC22/1520
L3,Triumph,Tiger T100S -S/490
L1,MBK,X-LIMIT SUPERMOTARD-70K1A5
L3,Ariel,NH350
L3,Harley-Davidson,FXST SOFTAIL
L3,Suzuki,AN 650 A BURGMAN
L3,Yamaha,RD 250LC
L3,Honda,VF1000R
L1,Jupiter,RALLY
L3,Kawasaki,ZX6-R
L3,Yamaha,XV1000 VIRAGO
L3,Yamaha,XV750-5G57/748
L1,Tunturi,AUTOSTART-PUCH VS 50KA/49
L3,Ducati,SPORT 750-V201AA/748
L3e,Suzuki,GSX-R 750
L3e,Honda,CBR 1000 F-SC21/998
L1,Tunturi,Trial
L3,Honda,CB250RS
L1,Solifer,SM Speed 75
L3,Kawasaki,Z 1100 R
L1e,Piaggio,LIBERTY 50-C42200/49
L3,Triumph,SPRINT ST-T600-TF600M/955
L3,Moto Guzzi,Nevada 750
L3,Yamaha,650 Street-XS2/653
L3e,Yamaha,FZ6-N
L1,Tunturi,Start VS 50 KX
L1,Tunturi,LF 2-68/49
L3,Kawasaki,GPZ500S-EX500A/498
L3,Suzuki,VZ800-MARAUDER-AF1112/805
L3,Kawasaki,LTD1000
L3,IC,Planeta-3
L3,Suzuki,GSF 1200S
L3e,Vespa,150 VLB1T
L3,BMW,R90/6
L3,Ducati,996S-H100AA/996
L3e,Suzuki,VL125
L3,Kawasaki,kz 1300
L3,Moto Guzzi,V7-750 Special
L3,BMW,R75/7
L1e,Suzuki,LOVE
L3,Aprilia,SCARABEO 125-PCA0/124
L1,Tunturi,LF 50
L3,BMW,F 650
L3e,BMW,K 100 RT
L3,Suzuki,GSX 750F
L3,Yamaha,XV 535-2YL
L3,Suzuki,VS 750 GL Intruder
L1,Honda,MONKEY Z50J/49
L3,Honda,HONDA 900 RR
L3,MZ,TS125/123
L3,Vespa,Sprint 150
L1,Tunturi,Vakio-Morini Franco
L3,Honda,V65 Magna 1100-SC12
L3,Maico,MOBIL MB 200
L3,Suzuki,intruder 1400
L3,Yamaha,YZF 600 R
L3,Honda,GB 500
L3,Honda,SHADOW VT600C-PC21
L3,Honda,CBR 1100XX
L1,Regulus-Öglaend,Swing
L1,Tunturi,Super Sport-Puch VZ50N4
L3e,Yamaha,XT350
L3,Triumph,Bonneville
L3,MBK,SKYLINER YP125D-SE062/124
L1,Honda,Monkey Z50A
L3,Yamaha,VMX12 V-Max
L1,Husqvarna,Corona 3842/48
L3,Suzuki,GS500E-GM51B/487
L3,Honda,VARADERO-SD01
L3,Yamaha,XJ 900 S Diversion
L3,Yamaha,VMax 1200
L3,Suzuki,T500K
L3,Kawasaki,LTD 750
L3,Yamaha,Dragstar
L3,Yamaha,YZF 1000 R
L3,Yamaha,XJ900-58L
L3,Suzuki,DR800S-SR43A
L3,Kawasaki,ZX-6R-ZX600G/599
L1,Tunturi,dx
L3e,Sachs,X-ROAD
L3,Harley-Davidson,XLH SPORTSER 1200
L3,Honda,XL 600 R
L3,Yamaha,VIRAGO XV535
L1,Suzuki,Suzuki PV
L3,Matchless,G80S
L1,Suzuki,SOLIFER - PV50
L1,Tunturi,"""PAPPATUNTURI"""
L3,Yamaha,XV 750-5G5
L1,Tunturi,TRIAL-PUCH
L3,Suzuki,VL1500X
L3e,Honda,CB350Four
L1,Tunturi,Maxi-Punch
L1,Helkama,KAVERI-MINARELLI
L3,Harley-Davidson,DYNA WIDE GLIDE
L3,Ducati,Desmo 450 Mk3
L3e,Yamaha,FJR1300A-RP111/1298
L3e,Royal Enfield,J2
L3,Kawasaki,GPX 600R-ZX600/593
L3,Ducati,SuperSport
L3,Enfield,Bullet 500
L3,Honda,VT 1100C
L3,Ducati,907 IE
L3,Kawasaki,Z650B
L3e,Harley-Davidson,FLSTFSE FAT BOY
L1,Tunturi,SPORT PUCH VS50KX4/49
L3,Vespa,150
L3,Honda,GL1500C
L3,Suzuki,SV 1000 S
L3,Aprilia,HABANA 125-PM00/124
L1e,Peugeot,Speedfight 2
L1e,Peugeot,Speed Fight 2
L1e,Yamaha,70-70K107/50
L3,Suzuki,INTRUDER 1400-VX51L
L3,Kawasaki,Z 750-KZ750R
L3,Honda,CBR1100XXX
L3,Suzuki,Savage LS650
L1,MBK,X-LIMIT
L3,Honda,SUPER SPORT CBX - SC06/1047
L3,Honda,CBR900RR-SC28/983
L1,Solifer,SM77-Tomos
L3,BSA,Royal Star
L3,Moto Guzzi,V65C
L3,Yamaha,YZF600R-4TV/599
L3,Honda,NX 650 DOMINATOR
L3,BSA,Gold Star 500SS
L3e,Harley-Davidson,VRSCSE2 SCREAMIN� EAGLE
L1,Yamaha,NEO'S YN50-SA151/49
L3,Harley-Davidson,FAT BOY-BML/1340
L3,Yamaha,XJ 900 f
L3e,Suzuki,DR-Z 400
L3,IC,PLANETA SPORT 350
L3,Cagiva,PLANET 125-N301AA/124
L3,Yamaha,DT125R-DE03/125
L3,TWN,TWN BDG 250 H
L3,BMW,K75RT
L3e,Harley-Davidson,VRSCSE V-ROD
L3,Yamaha,FJ1100
L3,REX,ROADMASTER/200
L3,Pannonia,De Luxe TLF
L3,Honda,TOURIST TROPHY
L3,Honda,500 Shadow
L1,Helkama,Raisu MM
L3,Honda,VT 1100 Shadow
L3,Suzuki,GSX 1100 S
L3,Honda,NSR125R-JC22
L1,Suzuki,SUZUKI PV 50
L3,Honda,Super Sport
L1,Hero,WINNER 50
L3,Suzuki,GS1100G
L3,Yamaha,VMX 1200 V-MAX
L3,Yamaha,Street 350 R5
L3,Suzuki,TS 250
L3,Ural,M-63
L1,Yamaha,PASSOLA
L1e,Piaggio,LX50 4T-C38300
L1e,SKYTEAM,SKYTEAM DAX50
L3,Kawasaki,kz1300
L3,Honda,VT 800C Shadow
L3,Yamaha,XJ550
L3,Honda,CB 900F
L3,Kawasaki,ZG1300-A2
L3,Honda,PAN EUROPEAN ST1100
L1,Pyrkij�,Camping
L1,Tunturi,MAXI -PUCH
L3,Triumph,TROPHY 1200
L1,Tunturi,PUCH
L3e,Suzuki,Maruda V700
L3,Vespa,Super Sport
L3,Suzuki,DR800S
L3,Suzuki,TL1000S-AG3115/996
L3e,BOSS HOSS,BOSS HOSS BHC-3 ZZ4
L3,Yamaha,XJ 750 E
L3,Jawa,350 / 634
L3,BMW,R 75-7
L3,Honda,NT650V DEAUVILLE
L3,Harley-Davidson,FLHRCI ROAD KING CLASSIC-FRW/1450
L3,Harley-Davidson,WLA
L3,BMW,R 45
L3,Suzuki,GSX750-GS75X/747
L3,BMW,R 65
L3e,Harley-Davidson,FXD Dyna Super Glide
L3,Husqvarna,250WR
L1,Crescent,1273
L3,Honda,CB 500 Four K1
L3,CZ,350/472-6
L3,Kawasaki,G7T 100/99
L3e,KTM,KTM 660 SUPERMOTO
L3,Harley-Davidson,FXSTS SPRINGER SOFTAIL-BLY/1449
L1,Solifer,SM 77-Tomos 4V/49
L3,Harley-Davidson,FLHTC-ELECTRA GLIDE CLASSIC-DJV/1449
L3,Yamaha,DS 6
L3,Yamaha,DT125R
L3,Aprilia,ETV 1000 CAPO NORD-PSB00/998
L3,Honda,V65 Magna
L1,MBK,Ovetto YD50
L3,Harley-Davidson,XLH SPORTSTER 883-CAM
L1e,Skygo,SKYGO LF50
L3,BMW,R80 G/S
L3,Honda,GL1000
L3,Triumph,SPRINT RS-695-TF615M/955
L3,Honda,CB 500 F
L3,Honda,SHADOW VT1100
L1,Tunturi,Sport N Puch
L3e,Husqvarna,TE 510
