ajoneuvoluokka,merkkiSelvakielinen,kaupallinenNimi
L3e,Suzuki,GSX-R1000
L1e,Kymco,SUPER-9-S10110/49
L3,Kawasaki,ZZ-R1200-ZXT20C/1165
L3,BMW,F650GS-0172A/652
L1e,Motorhispania,FURIA TRAIL
L3,Honda,CBR600F-PC35F/599
L3e,Yamaha,YZF-R1
L3e,Yamaha,XV1900
L3,Yamaha,YAMAHA XJ600SH
L3,Ducati,MONSTER 600
L1e,Piaggio,NRG POWER D/D
L3,Suzuki,GSF1200S-A91111/1157
L3e,Harley-Davidson,XL1200C SPORTSTER CUSTOM
L3,Kawasaki,VN
L3,Suzuki,RV125 VAN VAN-BT1111/125
L1e,Derbi,SENDA SM 50 AF
L3e,BMW,R 1200 GS ADVENTURE
L1e,Aprilia,SR 50
L1e,Jincheng,DOGGY 50
L3e,Kawasaki,ZZR1400
L3e,Kawasaki,ER-6F
L3e,Buell,BUELL ULYSSES
L3e,Suzuki,GSR600A
L3,Suzuki,VL1500 INTRUDER LC-AL2111/1462
L3,MBK,SKYLINER
L3e,Harley-Davidson,FXDCI DYNA SUPER GLIDE CU
L3,Yamaha,YZF-R6-RJ05/600
L3e,Suzuki,GSX-R600-B21111/599
L1,MBK,NITRO YQ50-SA142/49
L3e,Honda,CBF500-PC39C/499
L3e,Harley-Davidson,FXDBI DYNA STREET BOB
L1,MBK,BOOSTER-NEXT GENERATION CW50RS-SA052/49
L3,Kawasaki,ZRX
L3,Suzuki,VS800GL-VS52B/805
L3,Honda,VT750C2 SHADOW-RC44A/745
L3,Kawasaki,ZRX-ZRT
L3e,Honda,CBR1000RR
L3,Harley-Davidson,FXE 1200
L3e,KTM,640 LC4
L1,Chunlan,CL50QT/49
L3,Honda,CB1100SF-SC42A/1137
L1,Gilera,RUNNER 50 PURE JET-C36/49
L3,BMW,R 75/5
L1,Peugeot,VIVACITY 50-SPORTLINE-S1C0KA-NL/49
L3,Harley-Davidson,FXDX DYNA SUPER GLIDE SPORT-GJV/1450
L1,Piaggio,TYPHOON C29/49
L3,Pannonia,TLT 250 De Luxe
L1,Derbi,SENDA R-SDR1EB/49
L3,Suzuki,GSX600F-AJ1112/600
L3,Honda,CB750C
L3,Kawasaki,ER-5-ER500A/499
L3e,Suzuki,DL650
L3e,Honda,GL1800
L3e,Honda,CB600F
L3e,Triumph,DAYTONA 650
L3,Suzuki,GSX750F-AK1112/750
L3,Aprilia,RST 1000 FUTURA-PW000/998
L3e,Honda,VT750C2
L3,Yamaha,Virago XV535
L3,Yamaha,YZF-R6-RJ091/600
L1e,Gilera,RCR
L3e,Suzuki,GSF650S
L1,Suzuki,PV50
L3,Kawasaki,SR650
L1,Piaggio,LIBERTY 50-C15/49
L3e,Kawasaki,ZZR1400 ABS
L1e,Motor Mania,BELLA50
L3,Kawasaki,ZX9R
L3,Kawasaki,ZR-7-ZR750F/739
L3,Honda,XL650V TRANSALP-RD11A/647
L1e,Kymco,SUPER8 50
L3e,KTM,250 EXC
L1e,Peugeot,TREKKER
L3e,Honda,XL1000VA
L3e,Yamaha,YZF-R1-RN121/998
L1,Aprilia,SR 50-RLB1/49
L3,BMW,R 1150 RT-0419A/1130
L3e,Harley-Davidson,FXSTBI NIGHT TRAIN
L1,Kymco,FILLY-S2/49
L3e,KTM,KTM 990 SUPERDUKE
L1e,CPI,SUPERMOTO
L1e,Keeway,MATRIX
L1e,Zongshen,WIND50
L3e,Moto Guzzi,BELLAGIO 940
L1e,Rieju,MRX-11/49
L1,Suzuki,SOLIFER-PV50/49
L1e,Moto Zeta,RALLY 50
L1,Tunturi,MAXI-PUCH
L3,Honda,NES125-JF07A/125
L3e,BMW,K 1200 LT
L1e,Gilera,STALKER C40100/49
L3e,Harley-Davidson,XL SPORTSTER 883L
L1e,Keeway,FOCUS
L3,Maico,MAICOLETTA
L3,Honda,CBR600RR-PC37A/599
L3e,Yamaha,FZ6
L3,Husqvarna,TE 450-H802AA/448
L3,Kawasaki,Z 1000 MK II
L3,Honda,ST 70
L3e,BMW,R 1200 GS
L3e,Harley-Davidson,FXDC DYNA SUPER GLIDE
L1,Kymco,Cobra Cross
L1,Peugeot,SPEEDFIGHT2 N-S1B0KA/49
L3,Aprilia,MX 125-TZ000/125
L3e,KTM,640 LC4 SM
L1e,Baotian,BT50QT-9
L3,Kawasaki,KR250-B2
L3,Honda,ST1300A PAN EUROPEAN-SC51A/1261
L3e,Piaggio,VESPA GRANTURISMO 200L-M31200/198
L1,Peugeot,SPEEDFIGHT2 LNDP-S1B0KB/49
L3e,Suzuki,GSF650SUA
L3,BMW,K 1200 LT-0545A/1171
L3e,Aprilia,ETV 1000 CAPO NORD-PS004/998
L3,Honda,VT750C-RC50A/745
L3e,Harley-Davidson,XL 1200N NIGHTSTER
L3,Moto Guzzi,CALIFORNIA JACKAL-KD/1064
L3e,Honda,CBF600SA
L3e,Suzuki,GSX-R600
L3,Yamaha,XT660X-DM014/660
L1,Suzuki,PV-50
L3e,Yamaha,FZ6-SAHG
L3e,Kymco,XCITING 500
L3e,Ducati,ST3
L3e,Kawasaki,VN900 CLASSIC
L3e,Harley-Davidson,XL 1200C SPORTSTER 1200 C
L3e,Suzuki,GSF1250SA
L3e,Harley-Davidson,FLSTCI HERITAGE SOFTAIL CLASIC-BWB/1449
L3,Yamaha,XV1100 Virago
L3e,KTM,DUKE II
L3,Buell,X1 LIGHTNING-SS11J/1199
L3e,Husqvarna,SM 510
L3,Triumph,THUNDERBIRD-309-TC374J/885
L3,Honda,CB750
L3e,Suzuki,VZR1800
L3,Honda,VFR800
L3,Yamaha,BT1100 BULLDOG-RP051/1063
L3e,Harley-Davidson,XL 1200L SPORTSTER 1200 L
L1e,Baotian,BT49QT-9
L3,Yamaha,XVS650A DRAG STAR CLASSIC-VM035/649
L3,Suzuki,DL650-B11111/645
L3,Honda,GOLD WING-GL1800-SC47A/1832
L3e,Suzuki,GSR600
L3,Kawasaki,NINJA ZX-9R-ZX900E/899
L3,Suzuki,GSX-R750
L3,Kawasaki,ZZ-R 250-EX250H/249
L3e,Suzuki,GSX1400
L1e,Piaggio,VESPA ET4 50
L3,Kawasaki,ER 5
L3,Harley-Davidson,FXST SOFTAIL STANDARD-BHY/1449
L3,Honda,CBR600F SPORT-PC35G/599
L1,Peugeot,B1AAAA/50
L3e,Suzuki,DL650A
L1,Rieju,RR/49
L3,Kawasaki,ZZ-R 600
L3e,BMW,R 1200 C MONTAUK-0309A/1170
L3,Moto Guzzi,BREVA 750-LL000/744
L3,Honda,ST1300 PAN EUROPEAN-SC51A/1261
L3e,Aprilia,RS 125-SFG00/125
L1e,Derbi,SENDA SM SR2B1A/49
L3,Suzuki,VZ800
L3,Suzuki,GSX1400-BN1111/1402
L3,Honda,VFR 750F
L3,Honda,CB600F HORNET-PC34D/600
L3,Honda,VTR1000F-SC36C/996
L3,Harley-Davidson,FLSTFI FAT BOY-BXB/1449
L1,Peugeot,SPEEDFIGHT LBDP-S1B0KB/49
L3,Suzuki,SV1000S-BX1321/996
L1,Italjet,Formula 50
L3e,Honda,CBF1000
L3,Yamaha,XJR1300-RP061/1251
L1e,Peugeot,S1BBAA/50
L3e,Harley-Davidson,FXSTI SOFTAIL STANDARD
L3e,Cagiva,RAPTOR 125
L3,Ducati,999-H400AE/998
L1,Jupiter,SACHS 50
L3e,Harley-Davidson,FLHRC ROAD KING CLASSIC
L3,KTM,640 LC4-GSN4/625
L3e,KTM,990 ADVENTURE EFI
L3,BSA,DB34 GOLD STAR/499
L3,MZ,ES 250
L3,Suzuki,SV650S-BY1321/645
L1,Tunturi,VAKIO-MORINI FRANCO-FM-M-101-K/49
L3,Suzuki,GSX1300R-A11112/1299
L3e,Baotian,BT125T-7
L1,Aprilia,RX50-MU03/49
L3e,KTM,950 SUPERENDURO
L3e,Yamaha,XJR1300-RP101/1251
L3,Cagiva,V-RAPTOR-M201AA/996
L3e,Suzuki,GSX750F
L3e,Honda,CB1300SA
L1,Aprilia,RX50-ST000/50
L3e,Harley-Davidson,VRSCR V-ROD STREET ROD
L3,Triumph,SPEED TRIPLE-595-TE551X/9
L3e,Daelim,VL125
L3e,Harley-Davidson,VRSCX
L1e,Piaggio,TYPHOON C29200/49
L1,Tunturi,START
L1e,Derbi,SENDA R 50 AF
L3,Yamaha,RD
